,Genetic Feature,feature_pval,ic50_effect_size,feature_delta_mean_ic50,msi_pval,fdr,log_ic50_mean_pos
269,cnaPANCAN1,0.00359007826940255,0.5887185270354304,1.0418392702831456,0.00319183090655379,4.251408476924073,5.413787200450828
270,cnaPANCAN2,0.13898135245255563,0.41498796628600776,0.7365780705431195,0.00329506489084318,29.193426585318967,5.113917791738287
271,cnaPANCAN3,0.6106997365895521,0.3856397216144743,0.6863757168483753,0.00332727003050394,55.406226101874715,5.088070886768668
272,cnaPANCAN4,0.4921415438106993,0.4254699563249732,0.7569233601913803,0.00332370875631188,53.10036024622716,5.156571551859233
273,cnaPANCAN5,0.5467618155563019,0.45456117899353937,0.8084682037419819,0.00332552833688629,55.361497857383675,5.207458584616391
274,cnaPANCAN6,0.7024242219202306,0.4000748276789996,0.7119543476957757,0.00332916667473413,58.07838515319883,5.112907339726196
275,cnaPANCAN7,0.6534191087055703,0.4692521225259548,0.8351670461964611,0.00332823404637268,55.88570044518476,5.24033407745771
276,cnaPANCAN8,0.1564217578631929,0.5171657061775596,0.9197806272877926,0.00329806970596474,31.424013856445008,5.321375410574626
277,cnaPANCAN9,0.20472512849705948,0.5076776731466215,0.902999262522634,0.00330473069576229,34.764644461764824,5.304959236130782
278,cnaPANCAN10,0.740360763469543,0.13648405930510893,0.24337591995388497,0.00332977261247056,59.017779098378966,4.65918598512062
279,cnaPANCAN11,0.6556306448831354,0.06866154198947258,0.12245702794937596,0.00332827998819826,55.88570044518476,4.541656691694247
280,cnaPANCAN12,0.6558221487784599,0.0912502988462302,0.16273744272064938,0.00332828394872683,55.88570044518476,4.580975380741816
281,cnaPANCAN13,0.34826776143162413,0.18914740710074768,0.3372288257952736,0.00331688698198449,45.87937830173918,4.751500902171583
282,cnaPANCAN14,0.29212354468397955,0.17747298174507894,0.31641918612943254,0.00331304474696572,42.26868009896811,4.730488323708564
283,cnaPANCAN15,0.1756489125744142,0.14510940219402768,0.2587464637186825,0.00330097193337488,33.249476760859,4.673922053268516
284,cnaPANCAN16,0.5843880320837108,0.01952020799886157,-0.03481552655169206,0.00332659939780944,55.369826062710125,4.38740853872936
285,cnaPANCAN17,0.4940182406174708,0.12488651130805276,-0.2226998209750368,0.00332377701277025,53.10036024622716,4.204680339200315
286,cnaPANCAN18,0.07431891037767197,0.49751517140323537,0.8816951983447003,0.00327854805373252,22.33638499940272,5.254881222730783
287,cnaPANCAN19,0.9638403442868984,0.3116730175720544,0.5552088811054441,0.0033315791740128,65.31157161951084,4.962435966097363
288,cnaPANCAN20,0.12544713073590727,0.20564378182312784,0.36612446541440224,0.00329242705151014,27.946142985721924,4.753588876976622
289,cnaPANCAN21,0.2405522593536202,0.13789977517455415,0.24585187511455955,0.00330858077584267,37.71725320875579,4.656252783445956
290,cnaPANCAN22,0.00077206690189766,0.6100032309572785,1.0666953847945404,0.00314630176558529,1.4875685185096157,5.356765445161678
