Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Nutlin-3a (-)","1047","PFSK-1","683667","MB","nervous_system","medulloblastoma","4.2617770000390065",".97008554300909267","10",".073075016486307598","-.086424958913997402","GDSC2"
"Nutlin-3a (-)","1047","A673","684052","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","4.9845478135313188",".9847900403563784","10",".057690146003164425",".31803427589841482","GDSC2"
"Nutlin-3a (-)","1047","ES5","684057","UNCLASSIFIED","bone","ewings_sarcoma","4.7366111969967166",".98054462316778557","10",".035788688069391041",".17929008156518542","GDSC2"
"Nutlin-3a (-)","1047","ES7","684059","UNCLASSIFIED","bone","ewings_sarcoma","4.3745043758915889",".97533900708732912","10",".073701875411762069","-.023343236010099831","GDSC2"
"Nutlin-3a (-)","1047","EW-11","684062","UNCLASSIFIED","bone","ewings_sarcoma","5.2706280813693258",".97814054851746601","10",".090291067949900897",".47812348269082627","GDSC2"
"Nutlin-3a (-)","1047","SK-ES-1","684072","UNCLASSIFIED","bone","ewings_sarcoma","4.3068081490056969",".9806765638105579","10",".079127076444456504","-.061225734327454165","GDSC2"
"Nutlin-3a (-)","1047","COLO-829","687448","SKCM","skin","melanoma","5.856490004503085",".95461669250580372","10",".10444010447250213",".80596912990431724","GDSC2"
"Nutlin-3a (-)","1047","5637","687452","BLCA","urogenital_system","bladder","5.0819464853135479",".9737905884205601","10",".079939694223368135",".37253812625512911","GDSC2"
"Nutlin-3a (-)","1047","RT4","687455","BLCA","urogenital_system","bladder","2.497195997959746",".89181237108398681","10",".079293304444764803","-1.0738764007023125","GDSC2"
"Nutlin-3a (-)","1047","SW780","687457","BLCA","urogenital_system","bladder","3.5743763308924104",".92691664652536698","10",".089487497109452613","-.47109122304992407","GDSC2"
"Nutlin-3a (-)","1047","TCCSUP","687459","BLCA","urogenital_system","bladder","6.0027796745461925",".98100886825298628","10",".049940574949663592",".88783215882313071","GDSC2"
"Nutlin-3a (-)","1047","C-33-A","687505","CESC","urogenital_system","cervix","4.3646041803069684",".96615825332667249","10",".098717382134209497","-.028883340087215319","GDSC2"
"Nutlin-3a (-)","1047","C-4-I","687506","CESC","urogenital_system","cervix","4.6753086544745903",".98211003762264903","10",".079182422132214728",".14498545971589946","GDSC2"
"Nutlin-3a (-)","1047","ME-180","687514","CESC","urogenital_system","cervix","5.125399900105867",".97670853593681728","10",".083291270050152133",".39685445802836095","GDSC2"
"Nutlin-3a (-)","1047","42-MG-BA","687561","GBM","nervous_system","glioma","5.516725109883696",".98603764352745626","10",".036261919774475231",".61583825199866205","GDSC2"
"Nutlin-3a (-)","1047","8-MG-BA","687562","GBM","nervous_system","glioma","4.758253189466096",".98423438462999935","10",".062230247542135263",".19140084136701888","GDSC2"
"Nutlin-3a (-)","1047","A172","687563","GBM","nervous_system","glioma","1.9101118491262774",".83417659255280552","10",".051698652661994783","-1.4024059998159695","GDSC2"
"Nutlin-3a (-)","1047","GB-1","687568","GBM","nervous_system","glioma","6.3483180433346416",".97744492290314278","10",".076592433125145215","1.0811938464142854","GDSC2"
"Nutlin-3a (-)","1047","T98G","687586","GBM","nervous_system","glioma","4.6124305254821243",".9726578600192799","10",".085558604952672548",".10979914689863535","GDSC2"
"Nutlin-3a (-)","1047","U-118-MG","687588","GBM","nervous_system","glioma","5.8961838051529059",".97251262632070756","10",".062854470621250505",".82818159883350673","GDSC2"
"Nutlin-3a (-)","1047","U-87-MG","687590","GBM","nervous_system","glioma","3.3426963930107991",".91649552702008108","10",".093248409861387868","-.60073825451238139","GDSC2"
"Nutlin-3a (-)","1047","YKG-1","687592","GBM","nervous_system","glioma","4.1150637394242731",".95163244391275981","10",".045002257355173846","-.16852502717540108","GDSC2"
"Nutlin-3a (-)","1047","ChaGo-K-1","687596","UNCLASSIFIED","lung","lung_NSCLC_not_specified","4.7039960768862885",".97697074504032688","10",".038664190984917191",".16103880982464636","GDSC2"
